,b_id,b_permit_type,b_category,b_action_type,b_work_type,b_value,b_issue_date,b_final_date,b_expiration_date,b_status,b_latitude,b_longitude
8198,6426081,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,380814.0,2014-11-24,2015-10-22,2016-05-24,Permit Closed,47.65908079,-122.348261
8241,6358191,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,323945.0,2013-05-31,2013-11-15,2014-11-30,Permit Closed,47.52486867,-122.3715952
8255,6448548,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,494193.0,2015-09-03,2017-03-08,2017-03-03,Permit Closed,47.56990401,-122.2831672
8261,6389911,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,310098.0,2016-07-05,,2019-07-05,Permit Issued,47.54411138,-122.392304
8267,6338026,Construction,MULTIFAMILY,NEW,Plan Review,667891.0,2013-12-21,2017-04-24,2016-12-21,Permit Closed,47.57006757,-122.2972481
8270,6355527,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,380451.0,2014-01-10,2015-03-09,2015-07-10,Permit Closed,47.55958988,-122.3617757
8289,6316913,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,404009.0,2013-05-24,2014-08-12,2014-11-24,Permit Closed,47.66355573,-122.29228
8290,6372415,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,257382.0,2013-08-26,2014-08-27,2015-02-26,Permit Closed,47.54369789,-122.37555220000002
8291,6476717,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,421285.0,2015-11-24,2016-09-09,2017-05-24,Permit Closed,47.66647207,-122.2872902
8296,6466834,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,820956.0,2017-05-12,,2018-11-12,Permit Issued,47.58397925,-122.3751791
8313,6573817,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,435544.0,2017-08-09,,2019-02-09,Permit Issued,47.67102705,-122.2831228
8328,6347095,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,256827.0,2013-08-08,2014-03-14,2015-02-08,Permit Closed,47.6961777,-122.2872381
8343,6534216,Construction,MULTIFAMILY,NEW,Plan Review,629000.0,2017-03-03,,2018-09-03,Permit Issued,47.6778653,-122.3177326
8377,6401029,Construction,COMMERCIAL,NEW,Plan Review,467147.0,2014-09-20,2015-08-03,2016-03-20,Permit Closed,47.68913797,-122.32322340000002
8388,6344614,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,375147.0,2014-02-21,2015-08-12,2015-08-21,Permit Closed,47.54301128,-122.3709808
8392,6380673,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,437889.0,2013-12-28,2015-06-30,2015-06-28,Permit Closed,47.63530442,-122.3529121
8398,6463593,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,400445.0,2016-03-10,2017-01-31,2017-09-10,Permit Closed,47.57741075,-122.4085922
8438,6374822,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,265663.0,2014-11-21,2016-10-06,2017-11-21,Permit Closed,47.53325828,-122.2793588
8452,6608191,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,401612.0,2018-03-02,,2019-09-02,Permit Issued,47.68328272,-122.2985362
8460,6474525,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,352444.0,2015-12-23,2017-05-22,2017-06-23,Permit Closed,47.55724868,-122.2826896
8474,6334368,Construction,INSTITUTIONAL,NEW,Plan Review,3295239.0,2013-07-12,2015-02-10,2016-07-12,Permit Closed,47.65502413,-122.2979185
8482,6419581,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,349797.0,2014-12-09,2016-05-11,2016-06-09,Permit Closed,47.58624169,-122.312367
