,b_id,b_permit_type,b_category,b_action_type,b_work_type,b_value,b_issue_date,b_final_date,b_expiration_date,b_status,b_latitude,b_longitude
10,6552481,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,260717.0,2017-06-06,,2018-12-06,Permit Issued,47.58900409,-122.304421
23,6584024,Construction,MULTIFAMILY,NEW,Plan Review,529743.0,2018-03-06,,2019-09-06,Permit Issued,47.67258029,-122.3777289
46,6588004,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,454332.0,2018-03-06,,2019-09-06,Permit Issued,47.69151157,-122.3696462
71,6440671,Construction,MULTIFAMILY,NEW,Plan Review,786928.0,2016-04-26,2017-06-27,2017-10-26,Permit Finaled,47.62118988,-122.2980787
143,6337999,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,383433.0,2013-05-21,2014-06-18,2014-11-21,Permit Closed,47.67402707,-122.3835194
162,6484804,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,434975.0,2015-09-22,2016-09-21,2017-03-22,Permit Closed,47.66983998,-122.286049
163,6516025,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,327848.0,2016-06-29,,2017-12-29,Permit Issued,47.5367155,-122.3552733
168,6530490,Construction,MULTIFAMILY,NEW,Plan Review,558178.0,2016-08-12,,2018-02-12,Permit Issued,47.54156806,-122.3225372
187,6547255,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,443959.0,2017-05-23,,2018-11-23,Permit Issued,47.64193368,-122.3499406
201,6460854,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,266258.0,2015-08-31,2016-08-05,2017-02-28,Permit Closed,47.59346791,-122.3079262
211,6410795,Construction,MULTIFAMILY,NEW,Plan Review,971214.0,2015-10-07,2016-12-30,2017-04-07,Permit Finaled,47.55637148,-122.2883163
218,6497476,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,482819.0,2016-01-07,2017-08-25,2019-01-07,Permit Closed,47.638753,-122.3244251
225,6363406,Construction,MULTIFAMILY,NEW,Plan Review,481826.0,2013-11-14,2014-09-18,2015-05-14,Permit Closed,47.62687920000001,-122.3238287
247,6578359,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,322612.0,2017-10-21,,2019-04-21,Permit Issued,47.64436192,-122.3552507
252,6406751,Construction,MULTIFAMILY,NEW,Plan Review,340500.0,2014-09-24,2015-10-16,2016-03-24,Permit Closed,47.56062356,-122.3625544
255,6133054,Construction,MULTIFAMILY,NEW,Plan Review,449404.0,2013-10-09,2015-03-10,2015-04-09,Permit Closed,47.53213121,-122.3600621
260,6411954,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,429740.0,2014-12-23,,2016-06-23,Permit Issued,47.62787138,-122.353699
264,6558799,Construction,MULTIFAMILY,NEW,Plan Review,1589350.0,2017-09-27,,2019-03-27,Permit Issued,47.69470904,-122.342691
285,6513687,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,269252.0,2016-08-04,,2019-08-04,Permit Issued,47.53386332,-122.3675522
288,6578785,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,425270.0,2018-03-05,,2019-09-05,Permit Issued,47.64710289,-122.3589931
329,6523973,Construction,MULTIFAMILY,NEW,Plan Review,704426.0,2017-02-13,,2018-08-13,Permit Issued,47.62644557,-122.3238163
344,6497612,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,439911.0,2016-03-14,,2017-09-14,Permit Issued,47.53709236,-122.3822721
350,6486333,Construction,COMMERCIAL,NEW,Plan Review,6304428.0,2017-01-20,,2018-07-20,Permit Issued,47.61844045,-122.3041441
363,6524310,Construction,MULTIFAMILY,NEW,Plan Review,794696.0,2017-01-04,,2018-07-04,Permit Issued,47.65519835,-122.3270294
377,6508684,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,335484.0,2017-09-09,,2019-03-09,Permit Issued,47.5468763,-122.2759274
404,6400179,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,319981.0,2014-06-02,2015-02-12,2015-12-02,Permit Closed,47.53144759,-122.3919846
412,6437770,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,709000.0,2015-05-27,2017-09-05,2017-12-31,Permit Closed,47.62790566,-122.2871759
434,6359525,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,298152.0,2013-11-22,2015-01-08,2015-05-22,Permit Closed,47.61235335,-122.29175259999998
441,6588879,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,396362.0,2017-10-20,,2019-04-20,Permit Issued,47.63885057,-122.3882547
442,6454534,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,628970.0,2015-10-01,2016-11-29,2017-04-01,Permit Closed,47.67116748,-122.2953242
445,6392290,Construction,MULTIFAMILY,NEW,Plan Review,291310.0,2014-10-04,2015-12-22,2016-04-04,Permit Closed,47.68013067,-122.2906268
463,6547219,Construction,MULTIFAMILY,NEW,Plan Review,686584.0,2017-02-07,2017-10-31,2018-08-07,Permit Finaled,47.54162297,-122.3874892
471,6445656,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,327187.0,2015-03-25,2015-11-16,2016-09-25,Permit Closed,47.52697511,-122.3509237
474,6465204,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,689010.0,2015-11-03,,2018-11-03,Permit Issued,47.62761377,-122.2871844
475,6465258,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,403037.0,2016-04-14,2017-11-16,2017-10-14,Permit Closed,47.58447944,-122.3932562
505,6482597,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,285229.0,2016-02-19,2017-03-22,2017-08-19,Permit Closed,47.63519519,-122.3730845
517,6420065,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,351735.0,2015-04-15,2016-07-28,2016-10-15,Permit Finaled,47.69449967,-122.3429437
563,6399768,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,311603.0,2016-08-05,2017-12-13,2018-02-05,Permit Closed,47.69451025,-122.3569568
582,6506809,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,472046.0,2016-10-28,,2018-04-28,Permit Issued,47.62982074,-122.3197907
588,6419189,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,325048.0,2014-10-29,2015-06-01,2016-04-29,Permit Closed,47.70545131,-122.3516741
592,6536242,Construction,MULTIFAMILY,NEW,Plan Review,412618.0,2016-06-11,2017-08-30,2017-12-11,Permit Finaled,47.61950012,-122.3043252
593,6519435,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,1000000.0,2017-05-07,,2018-11-07,Permit Issued,47.66961273,-122.2577468
602,6427053,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,262669.0,2015-02-25,2016-09-06,2016-08-25,Permit Closed,47.50024985,-122.2685455
608,6371186,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,331296.0,2013-08-27,2014-06-06,2015-02-27,Permit Closed,47.67364157,-122.3721881
627,6592952,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,513723.0,2018-02-14,,2019-08-14,Permit Issued,47.58524943,-122.3072667
641,6505889,Construction,COMMERCIAL,NEW,Plan Review,533832.0,2017-06-24,,2018-12-24,Permit Issued,47.55227692,-122.3627132
649,6343656,Construction,MULTIFAMILY,NEW,Plan Review,1552161.0,2014-03-13,,2015-09-13,Permit Issued,47.62629031,-122.3226863
663,6336495,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,306058.0,2013-07-26,2015-04-28,2015-01-26,Permit Closed,47.64584216,-122.3165665
678,6361975,Construction,MULTIFAMILY,NEW,Plan Review,789104.0,2015-12-17,,2017-06-17,Permit Issued,47.53780414,-122.3677866
687,6485469,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,253389.0,2016-06-08,,2019-06-08,Permit Issued,47.69463144,-122.3572328
688,6505628,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,438075.0,2016-11-10,,2018-05-10,Permit Issued,47.5749723,-122.2935374
709,6403594,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,366320.0,2014-10-14,2015-05-07,2016-04-14,Permit Finaled,47.59290742,-122.2936367
711,6524880,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,565469.0,2017-04-28,,2018-10-28,Permit Issued,47.66379932,-122.3546063
720,6464513,Construction,MULTIFAMILY,NEW,Plan Review,5171401.0,2016-10-09,,2018-04-09,Permit Issued,47.66124841,-122.3384325
734,6482009,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,374929.0,2016-01-08,,2017-07-08,Permit Issued,47.54640271,-122.3215805
736,6401146,Construction,COMMERCIAL,NEW,Plan Review,30208787.0,2015-04-24,2017-08-24,2018-04-24,Permit Closed,47.63209422,-122.3419139
737,6353173,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,381390.0,2013-07-18,2014-05-21,2015-01-18,Permit Closed,47.68372065,-122.3021267
742,6410436,Construction,MULTIFAMILY,NEW,Plan Review,417128.0,2017-08-02,,2019-02-02,Permit Issued,47.59641996,-122.3108963
747,6564181,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,458463.0,2017-05-26,2018-01-12,2018-11-26,Permit Closed,47.69202568,-122.3136756
763,6466969,Construction,MULTIFAMILY,NEW,Plan Review,624150.0,2015-07-11,2017-02-10,2017-01-11,Permit Closed,47.57791667,-122.4130716
773,6461320,Construction,COMMERCIAL,NEW,Plan Review,1100786.0,2016-01-27,2016-11-23,2017-07-27,Permit Closed,47.67402392,-122.2637024
780,6405731,Construction,MULTIFAMILY,NEW,Plan Review,3232908.0,2014-12-23,2016-11-17,2017-12-23,Permit Closed,47.56127513,-122.3886209
783,6381334,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,300000.0,2013-12-13,2014-09-23,2015-06-13,Permit Closed,47.66849758,-122.3318434
800,6361151,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,315489.0,2013-11-07,2014-06-02,2015-05-07,Permit Closed,47.67568920000001,-122.32645759999998
814,6329942,Construction,MULTIFAMILY,NEW,Plan Review,2649941.0,2013-10-25,2015-02-24,2015-04-25,Permit Closed,47.62301247,-122.3233857
834,6563210,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,435616.0,2017-06-24,,2018-12-24,Permit Issued,47.63472150000001,-122.3537377
848,6404113,Construction,COMMERCIAL,NEW,Plan Review,6257221.0,2016-01-26,2017-12-28,2019-01-26,Cert of Occupancy Authorized,47.62369467,-122.3362305
861,6306637,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,275669.0,2014-02-22,2015-03-17,2015-08-22,Permit Closed,47.72320941,-122.310223
863,6541921,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,262648.0,2017-04-09,2018-01-17,2018-10-09,Permit Closed,47.663931700000006,-122.3191355
888,6460141,Construction,MULTIFAMILY,NEW,Plan Review,400000.0,2016-04-26,2017-09-27,2017-10-26,Permit Closed,47.56993461,-122.286955
889,6379399,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,386594.0,2014-03-13,2014-12-30,2015-09-13,Permit Closed,47.69620779,-122.3274139
891,6369480,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,383073.0,2013-09-25,2014-04-30,2015-03-25,Permit Closed,47.67137242,-122.28168329999998
892,6382031,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,320901.0,2014-02-13,2015-02-27,2015-08-13,Permit Closed,47.72132576,-122.3028564
904,6503105,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,528830.0,2016-03-30,,2017-09-30,Permit Issued,47.65617371,-122.3270407
905,6558900,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,312688.0,2017-05-23,,2018-11-23,Permit Issued,47.59400017,-122.2970537
906,6348218,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,295137.0,2013-10-02,2014-10-29,2015-04-02,Permit Closed,47.67482039,-122.3783336
921,6506246,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,328000.0,2016-09-27,2017-08-10,2018-03-27,Permit Closed,47.56705041,-122.2958236
940,6514704,Construction,MULTIFAMILY,NEW,Plan Review,795674.0,2016-11-22,,2018-05-22,Permit Issued,47.52517665,-122.3601928
955,6508039,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,505684.0,2016-06-11,2017-05-01,2017-12-11,Permit Closed,47.6173806,-122.2894837
962,6438118,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,317268.0,2015-05-22,2016-03-01,2016-11-22,Permit Closed,47.70977157,-122.307647
969,6560003,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,470348.0,2017-07-27,,2019-01-27,Permit Issued,47.69292303,-122.295782
987,6390195,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,299720.0,2014-05-17,2015-05-07,2015-11-17,Permit Closed,47.53471313,-122.3799757
989,6499465,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,448825.0,2016-02-26,2017-02-13,2017-08-26,Permit Closed,47.62480201,-122.2996207
995,6327457,Construction,MULTIFAMILY,NEW,Plan Review,1630417.0,2013-06-08,2015-01-28,2016-06-08,Permit Closed,47.69041968,-122.3598097
997,6360032,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,444217.0,2013-05-23,2013-11-22,2014-11-23,Permit Closed,47.67992488,-122.3652857
1011,6457977,Construction,COMMERCIAL,NEW,Plan Review,550000.0,2016-02-24,,2019-02-24,Permit Issued,47.62127489,-122.3576677
1035,6463807,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,463841.0,2015-07-23,2016-05-24,2017-01-23,Permit Closed,47.67119118,-122.2788894
1041,6490679,Construction,COMMERCIAL,NEW,Plan Review,22988198.0,2017-05-07,,2018-11-07,Permit Issued,47.66107313,-122.3156672
1045,6523543,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,492613.0,2017-02-15,,2018-08-15,Permit Issued,47.54957088,-122.2622739
1051,6391859,Construction,COMMERCIAL,NEW,Plan Review,1867370.0,2015-05-27,,2016-11-27,Permit Issued,47.5532492,-122.3306313
1055,6432233,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,384223.0,2015-05-15,2016-05-17,2016-11-15,Permit Closed,47.54923524,-122.3096297
1084,6497453,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,397513.0,2016-04-20,2017-11-02,2017-10-20,Permit Finaled,47.69712757,-122.2971785
1088,6421393,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,387469.0,2014-11-13,2016-03-23,2016-05-13,Permit Closed,47.66111615,-122.2746354
1093,6349532,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,277270.0,2014-11-21,2016-10-06,2017-11-21,Permit Closed,47.53312502,-122.2790509
1097,6524192,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,325291.0,2016-08-15,2018-01-12,2018-02-15,Permit Closed,47.54697101,-122.3193986
1124,6590377,Construction,MULTIFAMILY,NEW,Plan Review,690808.0,2018-02-13,,2019-08-13,Permit Issued,47.69199175,-122.3051543
1130,6548724,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,255246.0,2017-01-05,,2018-07-05,Permit Issued,47.6736876,-122.3893163
1146,6381833,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,510441.0,2014-01-30,2015-06-01,2015-07-30,Permit Closed,47.67035441,-122.329134
1178,6352365,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,303156.0,2013-07-03,2014-03-17,2015-01-03,Permit Closed,47.61364207,-122.2911243
1184,6388095,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,394168.0,2014-12-22,2016-07-11,2016-06-22,Permit Closed,47.61963156,-122.3009548
1185,6367485,Construction,COMMERCIAL,NEW,Plan Review,17000000.0,2014-06-16,2017-04-12,2017-06-16,Permit Closed,47.62107332,-122.335549
1227,6407657,Construction,INDUSTRIAL,NEW,Plan Review,3657024.0,2015-05-13,2017-07-31,2018-05-13,Cert of Occupancy Authorized,47.5540511,-122.3210202
1229,6510513,Construction,MULTIFAMILY,NEW,Plan Review,773834.0,2017-01-04,,2018-07-04,Permit Issued,47.65509437,-122.3271222
1237,6356289,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,326665.0,2013-06-24,2014-11-19,2014-12-24,Permit Closed,47.68584875,-122.3225466
1239,6582765,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,445385.0,2017-10-31,,2019-04-30,Permit Issued,47.64832592,-122.4103827
1244,6492055,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,399407.0,2016-05-05,,2017-11-05,Permit Issued,47.65847573,-122.350603
1251,6570915,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,371260.0,2017-04-11,,2018-10-11,Permit Issued,47.54014055,-122.3708252
1341,6474164,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,313580.0,2016-09-27,,2018-03-27,Permit Issued,47.52318245,-122.3514774
1365,6481834,Construction,COMMERCIAL,NEW,Plan Review,27615347.0,2016-06-01,,2019-06-01,Permit Issued,47.60247849,-122.3210096
1375,6511625,Construction,MULTIFAMILY,NEW,Plan Review,416611.0,2016-07-27,2017-08-24,2018-01-27,Permit Closed,47.67570362,-122.3744025
1377,6547090,Construction,MULTIFAMILY,NEW,Plan Review,600560.0,2017-06-07,,2018-12-07,Permit Issued,47.58584724,-122.3162541
1389,6573205,Construction,COMMERCIAL,NEW,Plan Review,1029887.0,2017-06-14,,2018-12-14,Permit Issued,47.54561126,-122.3301378
1397,6422995,Construction,MULTIFAMILY,NEW,Plan Review,804403.0,2014-11-14,2016-01-13,2016-05-14,Permit Closed,47.56858991,-122.3870674
1419,6521539,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,412367.0,2016-08-04,2017-06-30,2018-02-04,Permit Closed,47.68138836,-122.3642646
1423,6362097,Construction,MULTIFAMILY,NEW,Plan Review,641844.0,2015-03-11,2017-01-23,2018-03-11,Permit Closed,47.60843309,-122.3138527
1436,6559401,Construction,MULTIFAMILY,NEW,Plan Review,353463.0,2017-06-06,,2018-12-06,Permit Issued,47.65856481,-122.3512544
1437,6383289,Construction,MULTIFAMILY,NEW,Plan Review,843735.0,2014-09-13,2015-10-16,2016-03-13,Permit Closed,47.70500764,-122.3656012
1467,6355820,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,262611.0,2013-09-17,2014-09-29,2015-03-17,Permit Closed,47.67584204,-122.3799393
1473,6441221,Construction,MULTIFAMILY,NEW,Plan Review,978026.0,2015-04-12,2016-06-30,2016-10-12,Permit Finaled,47.7052034,-122.3525205
1479,6453465,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,329592.0,2015-05-26,2016-04-25,2016-11-26,Permit Closed,47.55354407,-122.303578
1488,6535470,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,260132.0,2016-12-18,,2018-06-18,Permit Issued,47.58649214,-122.3117506
1510,6473304,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,506635.0,2016-05-03,2017-11-20,2017-11-03,Permit Closed,47.58314008,-122.3072391
1529,6480609,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,527082.0,2015-11-09,,2018-11-09,Permit Issued,47.69654922,-122.3750898
1562,6508443,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,355149.0,2016-07-06,2018-02-16,2019-07-06,Permit Closed,47.53905557,-122.3715038
1575,6378947,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,362895.0,2014-01-10,2017-03-01,2017-01-10,Cert of Occupancy Authorized,47.66942729,-122.354905
1577,6398370,Construction,MULTIFAMILY,NEW,Plan Review,389292.0,2014-10-25,2016-02-05,2016-04-25,Permit Closed,47.63667007,-122.3682553
1578,6570920,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,325363.0,2017-04-20,2017-11-27,2018-10-20,Permit Closed,47.53973237,-122.3707778
1585,6394212,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,347286.0,2014-02-13,2014-12-17,2015-08-13,Permit Closed,47.69354789,-122.3523199
1604,6486341,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,251594.0,2016-03-29,2017-05-08,2017-09-29,Permit Closed,47.67476122,-122.3805858
1605,6393710,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,425046.0,2014-08-09,2015-09-23,2016-02-09,Permit Closed,47.62366161,-122.2879805
1626,6485962,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,306449.0,2016-08-25,,2018-02-25,Permit Issued,47.57028669,-122.301508
1652,6445167,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,550667.0,2015-11-17,,2018-11-17,Permit Issued,47.62845761,-122.3634953
1667,6333953,Construction,MULTIFAMILY,NEW,Plan Review,417283.0,2013-08-20,2014-06-20,2015-02-20,Permit Closed,47.64488548,-122.37480390000002
1676,6559241,Construction,MULTIFAMILY,NEW,Plan Review,521472.0,2017-02-01,,2018-08-01,Permit Issued,47.54294049,-122.3225462
1694,6463268,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,314975.0,2016-03-21,2017-08-17,2017-09-21,Permit Closed,47.54861201,-122.2933863
1699,6324819,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,474037.0,2013-10-29,2015-03-12,2015-04-29,Permit Closed,47.70409824,-122.2884611
1731,6419325,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,323989.0,2015-08-24,2017-12-06,2018-08-24,Permit Closed,47.51462118,-122.2690117
1739,6556996,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,274576.0,2017-06-29,,2018-12-29,Permit Issued,47.57731767,-122.4123087
1754,6442660,Construction,MULTIFAMILY,NEW,Plan Review,721294.0,2015-08-04,2017-03-24,2018-08-04,Permit Closed,47.6257543,-122.32509170000002
1789,6424682,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,448439.0,2015-07-07,2017-02-06,2017-01-07,Permit Closed,47.64277302,-122.3906939
1798,6550345,Construction,COMMERCIAL,NEW,Plan Review,2031553.0,2017-10-18,,2019-04-18,Permit Issued,47.62363862,-122.3070843
1800,6418675,Construction,MULTIFAMILY,NEW,Plan Review,382996.0,2015-08-25,2016-08-23,2017-02-25,Permit Closed,47.60039409,-122.3059394
1809,6488058,Construction,MULTIFAMILY,NEW,Plan Review,532041.0,2016-04-18,2017-05-09,2017-10-18,Permit Finaled,47.67965178,-122.37596200000002
1816,6366674,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,253245.0,2014-06-06,2014-12-15,2015-12-06,Permit Closed,47.55024007,-122.2845401
1819,6399403,Construction,COMMERCIAL,NEW,Plan Review,2050000.0,2014-07-09,2016-03-28,2016-01-09,Permit Closed,47.62304677,-122.3407984
1832,6532060,Construction,MULTIFAMILY,NEW,Plan Review,324902.0,2017-06-09,,2018-12-09,Permit Issued,47.66514341,-122.285135
1891,6553270,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,393435.0,2017-05-03,,2018-11-03,Permit Issued,47.57163277,-122.3740737
1927,6369620,Construction,COMMERCIAL,NEW,Plan Review,2844222.0,2014-01-09,2015-07-24,2015-07-09,Permit Closed,47.62264265,-122.33941029999998
1932,6598669,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,432668.0,2018-01-03,,2019-07-03,Permit Issued,47.5426607,-122.2776476
1940,6399049,Construction,MULTIFAMILY,NEW,Plan Review,986150.0,2014-11-01,2015-10-01,2016-05-01,Permit Closed,47.57092113,-122.3145616
1957,6484451,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,406212.0,2016-12-29,,2018-06-29,Permit Issued,47.64010043,-122.324398
1998,6530232,Construction,MULTIFAMILY,NEW,Plan Review,521857.0,2016-09-22,,2018-03-22,Permit Issued,47.67253431,-122.3852084
2001,6390077,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,312037.0,2014-03-02,2014-09-17,2015-09-02,Permit Closed,47.69164591,-122.3696303
2004,6514622,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,374360.0,2016-08-30,2018-01-24,2018-02-28,Permit Closed,47.67035878,-122.3270965
2008,6444414,Construction,COMMERCIAL,NEW,Plan Review,66905924.0,2016-09-20,,2018-03-20,Permit Issued,47.61141658,-122.3213695
2015,6420490,Construction,MULTIFAMILY,NEW,Plan Review,528403.0,2016-11-02,,2018-05-02,Permit Issued,47.52476962,-122.2803359
2033,6323524,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,597959.0,2013-05-04,2014-12-02,2014-11-04,Permit Closed,47.63135095,-122.2789116
2034,6456300,Construction,MULTIFAMILY,NEW,Plan Review,1019455.0,2016-01-20,2017-02-13,2017-07-20,Cert of Occupancy Authorized,47.7324989,-122.3438107
2035,6397726,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,457918.0,2014-05-27,2016-02-25,2015-11-27,Permit Closed,47.68778751,-122.277295
2046,6358025,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,282749.0,2013-07-12,2013-10-28,2015-01-12,Permit Closed,47.56781113,-122.358834
2050,6459140,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,400654.0,2015-11-02,2017-11-07,2018-11-02,Permit Closed,47.65483321,-122.38656709999998
2060,6353500,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,364213.0,2013-08-22,,2015-02-22,Permit Closed,47.67490966,-122.392395
2072,6592956,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,336829.0,2018-01-03,,2019-07-03,Permit Issued,47.69071409,-122.335367
2101,6337876,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,332702.0,2013-04-30,2014-06-26,2014-10-30,Permit Closed,47.63679334,-122.3711414
2113,6549334,Construction,MULTIFAMILY,NEW,Plan Review,4679416.0,2017-12-26,,2019-06-26,Permit Issued,47.67675208,-122.3184871
2127,6511300,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,390883.0,2016-04-29,2017-08-28,2017-10-29,Permit Closed,47.55893263,-122.3634696
2132,6505627,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,438075.0,2016-11-10,,2018-05-10,Permit Issued,47.57508281,-122.2936343
2139,6549736,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,256770.0,2017-01-31,,2018-07-31,Permit Issued,47.68209862,-122.34764409999998
2171,6355935,Construction,COMMERCIAL,NEW,Plan Review,1750000.0,2013-08-16,2015-06-16,2015-02-16,Permit Finaled,47.61336267,-122.3190838
2180,6357953,Construction,MULTIFAMILY,NEW,Plan Review,1133740.0,2013-07-27,2014-03-27,2015-01-27,Permit Closed,47.54372303,-122.3673479
2184,6389239,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,330525.0,2014-03-05,2014-10-28,2015-09-05,Permit Closed,47.53198168,-122.3839986
2185,6608193,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,381869.0,2018-02-27,,2019-08-27,Permit Issued,47.68328923,-122.2981801
2197,6545645,Construction,MULTIFAMILY,NEW,Plan Review,274469.0,2017-04-09,,2018-10-09,Permit Issued,47.59681956,-122.3100536
2216,6570799,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,371994.0,2017-10-26,,2019-04-26,Permit Issued,47.57567132,-122.4096645
2221,6612569,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,519555.0,2018-03-02,,2019-09-02,Permit Issued,47.59503512,-122.299498
