,b_id,b_category,b_value,b_issue_date,b_final_date,b_status,b_lat,b_long
29649,6303090,COMMERCIAL,2460495.0,2013-04-26,2015-03-30,Permit Closed,47.72859378,-122.3166394
29965,6165135,COMMERCIAL,18153897.0,2015-02-23,2017-10-04,Permit Closed,47.72943418,-122.29156770000002
30050,6383355,MULTIFAMILY,6459064.0,2016-05-24,2018-03-13,Permit Closed,47.56270022,-122.3857949
30093,6424994,MULTIFAMILY,1500442.0,2015-06-19,2018-03-13,Permit Finaled,47.6740228,-122.3753048
30272,6383919,MULTIFAMILY,1236413.0,2015-08-12,2017-02-22,Permit Closed,47.61757294,-122.3239217
30604,6379558,MULTIFAMILY,6766647.0,2015-02-12,2016-09-08,Permit Closed,47.56373681,-122.3857625
30671,6475983,MULTIFAMILY,1832050.0,2016-08-02,2018-01-29,Cert of Occupancy Authorized,47.63310462,-122.3230233
30682,6526803,MULTIFAMILY,8668163.0,2016-06-24,2018-03-14,Permit Closed,47.68004583,-122.3764168
30805,6406532,SINGLE FAMILY / DUPLEX,1100695.0,2014-12-09,2016-06-10,Permit Closed,47.63253209,-122.3503278
30935,6412408,COMMERCIAL,2483250.0,2015-10-14,2016-10-10,Permit Closed,47.63849474,-122.3769606
31419,6499769,COMMERCIAL,3985683.0,2016-10-28,2018-03-02,Permit Closed,47.67566271,-122.3134801
31508,6378644,COMMERCIAL,6197898.0,2016-06-14,2018-03-19,Permit Closed,47.63854074,-122.32620159999998
32768,6380693,COMMERCIAL,84995652.0,2015-01-06,2017-06-05,Permit Closed,47.61632879,-122.3330523
33092,6421330,COMMERCIAL,5100000.0,2015-06-17,2016-11-18,Permit Closed,47.66673716,-122.3831091
33141,6485841,MULTIFAMILY,3507869.0,2016-07-15,2018-02-15,Permit Closed,47.6774562,-122.3184672
33924,6363305,COMMERCIAL,13462714.0,2014-02-03,2015-05-27,Permit Closed,47.60185619,-122.3170459
34252,6418661,INDUSTRIAL,4316730.0,2015-01-13,2016-07-14,Permit Closed,47.5735097,-122.3224022
34285,6353536,COMMERCIAL,1818000.0,2013-08-22,2015-04-03,Permit Closed,47.61665268,-122.3326278
34336,6404209,MULTIFAMILY,4115258.0,2014-10-16,2016-04-15,Cert of Occupancy Authorized,47.56015663,-122.2910966
34345,6448374,MULTIFAMILY,1358475.0,2015-08-17,2017-06-07,Permit Closed,47.66389117,-122.3038142
34375,6319992,COMMERCIAL,11596861.0,2014-03-03,2016-05-18,Permit Closed,47.67554783,-122.3872397
34848,6456440,COMMERCIAL,21004917.0,2015-08-12,2017-08-18,Permit Closed,47.71787303,-122.29447659999998
34922,6249284,INSTITUTIONAL,21988640.0,2014-03-07,2015-10-27,Permit Closed,47.65577125,-122.3170365
35002,6354902,MULTIFAMILY,2825161.0,2015-04-30,2016-08-31,Permit Closed,47.66142742,-122.3033452
35172,6343745,SINGLE FAMILY / DUPLEX,2311073.0,2015-12-30,2016-10-06,Permit Closed,47.50381028,-122.2645327
35286,6446552,MULTIFAMILY,1749298.0,2015-03-18,2016-10-14,Permit Closed,47.66974927,-122.385144
35332,6370621,INSTITUTIONAL,17856708.0,2015-03-25,2017-05-03,Permit Closed,47.68566128,-122.2843148
35335,6392906,COMMERCIAL,19504854.0,2015-04-24,2017-08-24,Permit Closed,47.63211623,-122.34152759999998
35383,6424553,COMMERCIAL,5030000.0,2015-05-22,2017-12-07,Permit Closed,47.61709778,-122.3375332
35887,6453677,MULTIFAMILY,16252201.0,2015-11-04,2017-07-10,Permit Closed,47.69572937,-122.3733593
35936,6404206,MULTIFAMILY,4348621.0,2014-10-16,2016-04-20,Permit Closed,47.5596089,-122.2904265
36534,6412152,COMMERCIAL,44878262.0,2016-06-15,2017-12-14,Permit Closed,47.61556306,-122.3327618
36619,6456468,INDUSTRIAL,4539343.0,2016-07-07,2017-10-12,Permit Closed,47.55009055,-122.3319557
36715,6313785,COMMERCIAL,4100000.0,2014-11-03,2016-04-11,Permit Closed,47.62334132,-122.3345852
36826,6494431,MULTIFAMILY,4813248.0,2016-05-13,2017-08-07,Permit Closed,47.62215883,-122.3243292
36967,6354431,MULTIFAMILY,1404291.0,2014-10-13,2015-08-14,Permit Closed,47.65201447,-122.3417162
37091,6336571,MULTIFAMILY,2237146.0,2014-10-10,2015-12-03,Permit Closed,47.61974247,-122.3175114
37109,6423757,MULTIFAMILY,18380495.0,2015-12-04,2017-08-15,Permit Closed,47.60053038,-122.3196145
37138,6364158,MULTIFAMILY,13322722.0,2014-02-13,2015-07-07,Permit Closed,47.65157136,-122.3423224
37307,6405422,MULTIFAMILY,1270433.0,2015-05-22,2016-11-14,Cert of Occupancy Authorized,47.65236628,-122.3488764
37324,6366532,MULTIFAMILY,6307170.0,2015-08-06,2017-10-30,Permit Closed,47.61395165,-122.3241443
37813,6339834,INSTITUTIONAL,1194015.0,2013-07-20,2014-09-12,Permit Closed,47.65502413,-122.2979185
37879,6180940,COMMERCIAL,14982063.0,2015-07-23,2016-11-28,Permit Closed,47.61582105,-122.3461666
37960,6321779,SINGLE FAMILY / DUPLEX,1056884.0,2013-07-15,2014-10-29,Permit Finaled,47.64247214,-122.374609
37970,6459558,MULTIFAMILY,1141169.0,2016-01-11,2017-10-24,Permit Closed,47.65443675,-122.3276276
37985,6406611,COMMERCIAL,74320138.0,2015-03-25,2017-08-21,Permit Closed,47.61184277,-122.3425428
38036,6511999,COMMERCIAL,2308800.0,2016-01-08,2017-03-17,Permit Closed,47.70619241,-122.3258761
38094,6338471,INSTITUTIONAL,4070726.0,2014-09-19,2017-02-23,Permit Closed,47.66115206,-122.3757857
38241,6359948,MULTIFAMILY,4875290.0,2015-02-21,2018-01-10,Permit Closed,47.60184797,-122.3134337
38275,6316847,COMMERCIAL,2228753.0,2014-10-15,2017-01-24,Permit Closed,47.61717726,-122.3166999
38304,6389877,COMMERCIAL,1135000.0,2014-06-27,2015-12-30,Permit Closed,47.66111774,-122.3410771
38428,6435512,MULTIFAMILY,6620976.0,2015-08-12,2016-09-30,Permit Closed,47.59944557,-122.3049645
38584,6300376,MULTIFAMILY,2461233.0,2013-12-05,2014-12-31,Permit Closed,47.62326209,-122.3143469
38616,6507010,MULTIFAMILY,1056557.0,2016-07-16,2017-08-17,Permit Finaled,47.61932384,-122.3039166
38790,6300093,MULTIFAMILY,2451110.0,2013-07-02,2015-01-20,Permit Closed,47.65725553,-122.3200803
38869,6388259,MULTIFAMILY,37211002.0,2014-09-26,2016-08-01,Permit Closed,47.67744717,-122.3198944
38965,6330647,COMMERCIAL,1200000.0,2013-08-08,2015-09-16,Permit Closed,47.66786255,-122.3811338
39144,6483608,MULTIFAMILY,1117164.0,2016-06-08,2017-08-29,Permit Closed,47.71573816,-122.3353047
39225,6439861,INSTITUTIONAL,4608265.0,2015-11-16,2017-01-06,Permit Closed,47.65375456,-122.3129066
39370,6371460,INSTITUTIONAL,7665353.0,2014-10-14,2016-05-12,Permit Closed,47.70598796,-122.3348714
39384,6303311,MULTIFAMILY,12381178.0,2013-05-31,2014-12-19,Permit Closed,47.61992997,-122.347342
39402,6414739,COMMERCIAL,12750752.0,2014-12-19,2017-01-25,Permit Closed,47.61788237,-122.30425259999998
39594,6341268,COMMERCIAL,77707410.0,2013-06-17,2015-03-04,Permit Closed,47.62906083,-122.3426014
39680,6426613,COMMERCIAL,5984810.0,2015-05-08,2017-10-18,Permit Closed,47.61698493,-122.3319657
39690,6429608,COMMERCIAL,5061536.0,2015-09-15,2017-03-31,Permit Closed,47.6356913,-122.3259269
39807,6369962,MULTIFAMILY,1203745.0,2014-10-30,2016-04-12,Permit Closed,47.64120991,-122.3250063
39943,6377592,MULTIFAMILY,18425867.0,2014-12-09,2016-09-22,Permit Closed,47.61361762,-122.3185288
39977,6365983,COMMERCIAL,48036060.0,2014-10-24,2016-09-26,Permit Closed,47.64790943,-122.3381579
39982,6422743,COMMERCIAL,3191951.0,2014-12-05,2016-09-13,Permit Closed,47.61632879,-122.3330523
40093,6287799,COMMERCIAL,9526644.0,2013-11-20,2015-02-20,Permit Closed,47.57054446,-122.2914076
40128,6423126,MULTIFAMILY,1133933.0,2015-10-08,2017-05-03,Permit Closed,47.62037689,-122.323355
40170,6404288,MULTIFAMILY,1164688.0,2015-07-18,2017-01-27,Permit Closed,47.62060764,-122.3112028
40186,6324793,MULTIFAMILY,73516106.0,2013-07-11,2015-10-08,Permit Closed,47.61652519,-122.3373688
40299,6485840,MULTIFAMILY,1026361.0,2016-04-28,2017-03-27,Permit Closed,47.68187905,-122.28813259999998
40307,6401048,MULTIFAMILY,7868322.0,2015-01-23,2016-12-12,Permit Closed,47.63412071,-122.34262959999998
40392,6475222,MULTIFAMILY,1389673.0,2016-04-05,2017-07-19,Permit Finaled,47.61782102,-122.3158051
40404,6289087,COMMERCIAL,23580634.0,2013-04-24,2014-10-14,Permit Closed,47.6241378,-122.3386931
40688,6430039,MULTIFAMILY,1463234.0,2015-05-28,2016-12-28,Permit Closed,47.69074327,-122.3743557
40728,6343532,COMMERCIAL,24557949.0,2014-03-18,2016-01-29,Permit Closed,47.61445083,-122.3227283
40764,6182636,COMMERCIAL,5277154.0,2015-10-16,2016-06-09,Permit Closed,47.66172677,-122.3175613
40927,6433185,MULTIFAMILY,1614126.0,2016-04-13,2018-03-05,Cert of Occupancy Authorized,47.62629031,-122.3226863
41237,6366219,COMMERCIAL,15241446.0,2015-02-12,2016-08-15,Permit Closed,47.66967529,-122.3879285
41281,6461700,COMMERCIAL,23006329.0,2015-12-02,2017-01-19,Cert of Occupancy Authorized,47.59600159,-122.3162261
41959,6332906,MULTIFAMILY,1501239.0,2013-10-10,2015-07-15,Permit Closed,47.69333241,-122.354241
42185,6488356,COMMERCIAL,1209754.0,2016-05-23,2018-02-28,Permit Closed,47.60247849,-122.3210096
42216,6434860,COMMERCIAL,11000000.0,2015-08-25,2017-05-09,Permit Closed,47.61457019,-122.3340078
42255,6398262,MULTIFAMILY,1400000.0,2014-10-28,2015-09-18,Permit Closed,47.61181606,-122.3231999
42303,6428981,MULTIFAMILY,5080964.0,2015-05-23,2017-10-31,Permit Closed,47.56382104,-122.3138774
42395,6391164,MULTIFAMILY,2696644.0,2014-11-04,2016-01-19,Permit Closed,47.6597373,-122.3204409
42642,6319158,COMMERCIAL,16853395.0,2015-12-18,2017-09-01,Permit Closed,47.60673038,-122.3203603
42798,6380969,COMMERCIAL,40026381.0,2014-08-29,2016-11-02,Permit Closed,47.65310607,-122.34318020000002
42954,6283622,COMMERCIAL,4925757.0,2013-06-26,2014-12-29,Permit Closed,47.57883692,-122.31106640000002
42956,6504245,MULTIFAMILY,8870833.0,2016-09-24,2018-02-05,Permit Closed,47.60642739,-122.3230445
43060,6128401,COMMERCIAL,166696118.0,2015-09-09,2017-11-14,Cert of Occupancy Authorized,47.6064785,-122.3313647
43074,6453012,COMMERCIAL,5982809.0,2015-06-19,2016-11-21,Permit Closed,47.66306259,-122.3002169
43086,6414719,COMMERCIAL,37379562.0,2015-08-28,2017-01-19,Permit Closed,47.62267378,-122.36041670000002
43099,6461843,MULTIFAMILY,7576551.0,2016-06-23,2017-10-02,Permit Closed,47.65797676,-122.3141094
43220,6392547,MULTIFAMILY,1172741.0,2015-02-07,2016-07-12,Permit Closed,47.60138873,-122.3034577
43242,6383259,MULTIFAMILY,20624085.0,2015-03-26,2016-12-05,Permit Closed,47.66974927,-122.385144
43317,6473388,MULTIFAMILY,3580492.0,2016-03-01,2017-07-10,Permit Closed,47.6699291,-122.380349
43632,6339340,COMMERCIAL,280589934.0,2013-10-15,2016-02-25,Permit Closed,47.61523711,-122.33836399999998
43637,6354261,COMMERCIAL,74821023.0,2014-01-31,2015-05-05,Permit Closed,47.62154693,-122.3401645
43980,6407198,COMMERCIAL,4862569.0,2015-03-02,2016-05-27,Permit Closed,47.61269306,-122.3009915
44079,6437982,MULTIFAMILY,3000000.0,2015-07-20,2017-06-30,Permit Finaled,47.63002641,-122.3414234
44086,6453820,MULTIFAMILY,1134511.0,2015-10-22,2016-09-30,Permit Finaled,47.60413073,-122.304823
44248,6404205,MULTIFAMILY,8126992.0,2014-10-16,2016-04-20,Permit Closed,47.5592093,-122.2904265
44506,6325848,MULTIFAMILY,9834485.0,2014-05-22,2015-10-16,Permit Closed,47.61508327,-122.32244070000002
44638,6297554,MULTIFAMILY,2501389.0,2014-03-27,2015-06-05,Permit Closed,47.6630259,-122.3204905
44719,6472951,MULTIFAMILY,1309240.0,2016-01-26,2017-03-31,Permit Finaled,47.71250742,-122.3550567
44725,6393303,INSTITUTIONAL,7500000.0,2014-06-18,2015-07-09,Permit Closed,47.58831146,-122.3065108
44926,6337838,COMMERCIAL,8440924.0,2014-05-06,2016-03-09,Permit Closed,47.62677806,-122.3417152
44951,6324871,MULTIFAMILY,4727922.0,2013-08-20,2015-02-17,Permit Closed,47.65713971,-122.3152862
45006,6380259,COMMERCIAL,4679785.0,2014-08-11,2016-09-30,Permit Closed,47.66767445,-122.374504
45397,6345269,MULTIFAMILY,2107000.0,2013-08-22,2014-09-12,Permit Closed,47.62221174,-122.3355992
45504,6426745,MULTIFAMILY,17857426.0,2015-07-30,2017-10-24,Permit Closed,47.61779708,-122.30527759999998
45523,6175609,COMMERCIAL,21508436.0,2014-01-27,2016-03-09,Permit Closed,47.66148571,-122.3157046
45917,6336473,COMMERCIAL,4632336.0,2013-10-23,2015-04-21,Permit Closed,47.61371932,-122.3177533
46118,6120993,COMMERCIAL,3678377.0,2013-10-09,2015-03-20,Permit Closed,47.67747634,-122.3268962
46279,6375003,INSTITUTIONAL,1027212.0,2014-03-05,2015-04-21,Permit Closed,47.65828261,-122.3045429
46415,6389079,MULTIFAMILY,39463347.0,2015-01-07,2017-01-10,Permit Closed,47.62296587,-122.3434253
46583,6343896,MULTIFAMILY,2616267.0,2013-12-19,2015-01-22,Permit Closed,47.6877381,-122.3765045
46890,6368241,COMMERCIAL,4004672.0,2015-07-30,2017-08-28,Permit Closed,47.61918048,-122.3022012
47024,6357155,COMMERCIAL,5400000.0,2013-10-24,2015-06-09,Permit Closed,47.62498078,-122.3388452
47092,6458649,MULTIFAMILY,2440000.0,2015-08-27,2017-11-02,Permit Closed,47.63115019,-122.3427607
47241,6374587,COMMERCIAL,12100000.0,2014-02-07,2016-09-30,Permit Closed,47.61586972,-122.3393811
47299,6327387,MULTIFAMILY,68696961.0,2013-05-30,2015-03-24,Permit Closed,47.60967965,-122.3297856
47697,6343550,COMMERCIAL,1200000.0,2014-01-21,2015-04-27,Permit Closed,47.61445083,-122.3227283
47727,6499094,MULTIFAMILY,1114986.0,2016-11-15,2017-09-19,Permit Closed,47.54006786,-122.371511
47836,6411902,COMMERCIAL,2500000.0,2014-07-24,2015-05-26,Permit Closed,47.66853804,-122.3537027
47891,6366839,COMMERCIAL,248165302.0,2014-07-23,2018-03-30,Permit Closed,47.61586972,-122.3393811
48016,6315298,MULTIFAMILY,2304345.0,2014-07-17,2018-02-14,Cert of Occupancy Authorized,47.56931261,-122.38711709999998
48093,6301684,COMMERCIAL,29129630.0,2013-09-05,2015-10-16,Permit Closed,47.62158027,-122.3556997
48126,6484693,COMMERCIAL,2500000.0,2016-03-17,2017-08-02,Permit Closed,47.59867342,-122.3352065
48400,6347504,MULTIFAMILY,9371230.0,2014-01-03,2017-12-15,Permit Closed,47.61430491,-122.3164393
48550,6514644,MULTIFAMILY,1528596.0,2016-09-14,2018-03-21,Permit Closed,47.543365,-122.3212207
48552,6378522,MULTIFAMILY,10250311.0,2014-05-24,2015-11-19,Permit Closed,47.62366408,-122.322307
48890,6470571,MULTIFAMILY,1291200.0,2016-07-22,2017-11-15,Permit Closed,47.68240595,-122.3253141
48971,6352324,COMMERCIAL,40573434.0,2014-09-17,2016-09-20,Permit Closed,47.62304677,-122.3407984
49008,6404208,MULTIFAMILY,3668396.0,2014-10-16,2016-04-15,Permit Closed,47.55937436,-122.2910721
49300,6345785,COMMERCIAL,5100000.0,2013-10-02,2015-05-13,Permit Closed,47.62251637,-122.3339166
49382,6359455,MULTIFAMILY,2020841.0,2014-08-23,2016-08-11,Permit Closed,47.67035987,-122.3831308
49438,6360806,MULTIFAMILY,7541149.0,2014-10-16,2016-04-15,Permit Closed,47.55988171,-122.2898098
49481,6294017,COMMERCIAL,1005000.0,2014-03-07,2015-06-19,Permit Closed,47.64866803,-122.3839158
49542,6349308,COMMERCIAL,15222000.0,2014-04-21,2016-02-24,Permit Closed,47.61544748,-122.3385324
49569,6367854,COMMERCIAL,18927932.0,2015-06-23,2017-05-01,Permit Closed,47.60946442,-122.3428717
50083,6339619,COMMERCIAL,6973850.0,2013-06-28,2015-04-30,Permit Closed,47.56797295,-122.2727644
50810,6367001,SINGLE FAMILY / DUPLEX,1098020.0,2013-09-04,2014-07-24,Permit Closed,47.63714765,-122.290461
50834,6383128,MULTIFAMILY,4626806.0,2015-03-12,2017-03-23,Permit Closed,47.67864785,-122.3239886
51115,6285721,COMMERCIAL,103861514.0,2016-02-08,2018-04-05,Cert of Occupancy Authorized,47.60911773,-122.3383204
51576,6454720,COMMERCIAL,1300000.0,2015-07-16,2017-03-22,Permit Closed,47.65141461,-122.3431969
51608,6330884,COMMERCIAL,34318592.0,2013-05-03,2014-12-18,Permit Closed,47.70833372,-122.3220476
51614,6388507,COMMERCIAL,16846451.0,2014-08-01,2015-12-29,Permit Closed,47.66111774,-122.3410771
51882,6325991,MULTIFAMILY,5188056.0,2014-09-06,2016-02-25,Permit Closed,47.61251813,-122.3416764
51937,6440370,MULTIFAMILY,5012056.0,2015-07-31,2016-09-28,Permit Closed,47.6642102,-122.3177761
52048,6339323,MULTIFAMILY,24168730.0,2014-04-02,2015-06-26,Permit Closed,47.61428571,-122.3505719
52063,6310214,MULTIFAMILY,1038263.0,2013-04-26,2015-09-02,Permit Closed,47.62491053,-122.31703629999998
52106,6401357,COMMERCIAL,1034000.0,2014-07-24,2016-04-21,Permit Closed,47.61387582,-122.3252557
52116,6358055,MULTIFAMILY,1029394.0,2013-12-23,2014-07-23,Permit Closed,47.66419083,-122.3058052
52143,6458687,COMMERCIAL,11355604.0,2015-12-02,2017-03-08,Permit Closed,47.61894243,-122.3544838
52224,6360556,INDUSTRIAL,5865970.0,2013-09-16,2014-06-12,Permit Closed,47.54957629,-122.3165954
52277,6306118,INDUSTRIAL,9370382.0,2013-08-12,2015-04-03,Permit Closed,47.66341745,-122.3770695
52552,6300774,COMMERCIAL,12818877.0,2013-07-25,2015-07-21,Permit Closed,47.60246647,-122.3177232
52569,6464023,MULTIFAMILY,1052947.0,2016-02-09,2017-07-19,Permit Finaled,47.64307372,-122.3850734
52719,6392841,MULTIFAMILY,49162027.0,2015-08-28,2017-09-28,Permit Closed,47.63002641,-122.3414234
53055,6376708,INSTITUTIONAL,1800000.0,2014-06-24,2015-07-16,Permit Closed,47.67630741,-122.3285125
53546,6324483,MULTIFAMILY,6666689.0,2015-09-18,2017-03-02,Permit Closed,47.61921428,-122.309164
53657,6494716,MULTIFAMILY,8055799.0,2016-08-04,2018-04-09,Permit Closed,47.69060763,-122.3132343
53778,6353329,COMMERCIAL,67459821.0,2013-09-19,2015-06-01,Permit Finaled,47.61673411,-122.3326804
53967,6394052,COMMERCIAL,5677716.0,2015-03-13,2017-05-19,Permit Closed,47.61094594,-122.3399262
54039,6143649,COMMERCIAL,7011058.0,2014-05-14,2015-12-17,Permit Closed,47.61539704,-122.32709640000002
54207,6343508,MULTIFAMILY,2517789.0,2013-12-09,2015-04-24,Permit Closed,47.62397513,-122.3597358
54664,6361289,MULTIFAMILY,1628101.0,2014-06-04,2015-11-19,Permit Closed,47.66661712,-122.3768379
54847,6440054,MULTIFAMILY,1379885.0,2015-07-18,2016-09-12,Permit Finaled,47.69077477,-122.3973139
54887,6485287,MULTIFAMILY,4187981.0,2016-06-17,2018-04-12,Cert of Occupancy Authorized,47.64865049,-122.3769678
54939,6365659,MULTIFAMILY,6702400.0,2014-10-15,2017-08-01,Permit Closed,47.55960801,-122.3819916
55091,6282663,MULTIFAMILY,2268116.0,2013-08-02,2015-09-21,Permit Closed,47.58655291,-122.3169822
55299,6411858,MULTIFAMILY,2424996.0,2015-04-02,2016-09-14,Permit Closed,47.61820544,-122.3270673
55418,6287803,COMMERCIAL,8541334.0,2013-08-05,2015-02-13,Permit Closed,47.61357841,-122.3325012
55545,6355637,COMMERCIAL,2592794.0,2014-12-18,2017-05-19,Permit Closed,47.61469501,-122.3117293
55672,6343551,COMMERCIAL,13465865.0,2014-03-18,2016-01-29,Permit Closed,47.61445083,-122.3227283
55797,6339555,MULTIFAMILY,1508254.0,2014-05-22,2015-10-06,Permit Closed,47.61022379999999,-122.3158481
55826,6354888,COMMERCIAL,58032408.0,2014-01-09,2015-10-29,Permit Closed,47.62498078,-122.3388452
55894,6544336,SINGLE FAMILY / DUPLEX,1525870.0,2017-01-19,2018-04-13,Permit Closed,47.69405026,-122.3545504
55951,6391814,MULTIFAMILY,4030800.0,2014-07-20,2015-12-21,Permit Closed,47.62441721,-122.3130164
55964,6470574,INDUSTRIAL,2685166.0,2016-01-25,2017-03-31,Permit Closed,47.65189105,-122.3783788
56030,6436709,MULTIFAMILY,47867204.0,2016-01-22,2018-04-10,Permit Closed,47.63115019,-122.3427607
56133,6342116,MULTIFAMILY,5128279.0,2015-07-08,2017-06-21,Permit Closed,47.52136692,-122.35947140000002
56508,6368995,SINGLE FAMILY / DUPLEX,1009948.0,2016-04-29,2018-04-16,Permit Closed,47.5946598,-122.2962143
56567,6355397,MULTIFAMILY,1403870.0,2014-05-14,2016-11-14,Permit Closed,47.61136255,-122.3118465
56568,6455927,COMMERCIAL,4500000.0,2015-12-16,2017-10-26,Permit Closed,47.66818029,-122.312793
56630,6386515,MULTIFAMILY,1780902.0,2014-11-14,2016-09-29,Cert of Occupancy Authorized,47.66929187,-122.3923671
56631,6484643,SINGLE FAMILY / DUPLEX,2438950.0,2016-02-24,2017-04-06,Permit Closed,47.61130962,-122.2889006
56909,6456899,MULTIFAMILY,1052947.0,2016-02-05,2017-07-05,Permit Closed,47.64322982,-122.3850883
57058,6461699,COMMERCIAL,2400000.0,2015-08-24,2016-12-16,Permit Closed,47.59600159,-122.3162261
57112,6402731,MULTIFAMILY,1250000.0,2015-06-03,2016-09-20,Permit Closed,47.62653955,-122.3616591
57258,6456371,MULTIFAMILY,16462096.0,2015-10-14,2017-04-24,Permit Closed,47.65141461,-122.3431969
57338,6321320,MULTIFAMILY,17786513.0,2013-12-21,2015-07-29,Permit Closed,47.62383597,-122.3314398
57477,6379773,MULTIFAMILY,1014161.0,2015-05-22,2017-05-01,Permit Closed,47.61989847,-122.30187759999998
57500,6405423,MULTIFAMILY,6790802.0,2016-06-11,2018-01-09,Cert of Occupancy Authorized,47.61334989,-122.3231281
57511,6404485,MULTIFAMILY,1895344.0,2014-10-10,2016-12-12,Permit Closed,47.56435223,-122.3753962
57715,6306072,COMMERCIAL,32794976.0,2013-11-13,2015-09-29,Permit Closed,47.55926496,-122.28655390000002
58066,6374770,MULTIFAMILY,9859368.0,2015-08-12,2018-04-18,Permit Closed,47.67603984,-122.2922304
58334,6449879,MULTIFAMILY,2164306.0,2016-08-12,2018-04-18,Permit Closed,47.61691256,-122.3171779
58450,6435826,MULTIFAMILY,1286667.0,2016-10-18,2018-04-20,Permit Closed,47.66706187,-122.3036972
58872,6322502,COMMERCIAL,2465714.0,2013-05-03,2014-06-16,Permit Closed,47.6140908,-122.3442985
