,b_id,b_category,b_value,b_issue_date,b_final_date,b_status,b_lat,b_long
8130,6162727,COMMERCIAL,29975811.0,2013-09-19,2015-09-21,Permit Closed,47.56122456,-122.381916
8133,6472745,COMMERCIAL,24269577.0,2016-02-03,2017-03-17,Permit Closed,47.70619241,-122.3258761
8170,6406689,MULTIFAMILY,1010329.0,2015-05-23,2016-11-22,Permit Closed,47.59298589,-122.3834815
8474,6334368,INSTITUTIONAL,3295239.0,2013-07-12,2015-02-10,Permit Closed,47.65502413,-122.2979185
8574,6405584,MULTIFAMILY,10151996.0,2015-11-16,2017-06-07,Permit Closed,47.67825665,-122.31690079999998
8578,6457861,MULTIFAMILY,2818582.0,2015-11-14,2018-02-26,Permit Closed,47.61777564,-122.3132728
8713,6426748,MULTIFAMILY,5148353.0,2015-03-10,2017-08-17,Cert of Occupancy Authorized,47.64144415,-122.3249605
8798,6291990,COMMERCIAL,5818738.0,2013-10-08,2015-08-28,Permit Closed,47.7325639,-122.3559097
8887,6403730,COMMERCIAL,32048979.0,2014-08-21,2016-04-11,Permit Closed,47.62893599,-122.3414135
9181,6410710,MULTIFAMILY,18385437.0,2015-12-11,2017-08-31,Permit Closed,47.67985766,-122.3233612
9290,6268969,MULTIFAMILY,13627890.0,2014-12-18,2014-12-18,Permit Closed,47.62490137,-122.3655399
9635,6392644,MULTIFAMILY,1880519.0,2014-08-22,2016-02-19,Permit Closed,47.56184103,-122.3883687
9643,6282461,COMMERCIAL,1099065.0,2014-06-02,2016-03-23,Cert of Occupancy Authorized,47.56965147,-122.2901043
9667,6367752,MULTIFAMILY,48246251.0,2014-06-10,2016-05-26,Permit Closed,47.62677806,-122.3417152
9669,6347128,MULTIFAMILY,12054147.0,2013-09-07,2015-07-16,Permit Closed,47.66277096,-122.3167336
9826,6450569,MULTIFAMILY,3000000.0,2016-01-20,2017-09-12,Cert of Occupancy Authorized,47.66183692,-122.30868329999998
9896,6425246,COMMERCIAL,6053467.0,2015-06-15,2017-02-28,Permit Closed,47.60420403,-122.3183261
9907,6284321,COMMERCIAL,142981553.0,2015-09-21,2017-12-08,Permit Closed,47.61698493,-122.3319657
10118,6321397,COMMERCIAL,10259705.0,2013-09-13,2015-11-18,Permit Closed,47.56083821,-122.3864761
10221,6357936,COMMERCIAL,3258260.0,2013-10-10,2014-12-08,Permit Closed,47.66144483,-122.387245
10361,6354400,COMMERCIAL,12393074.0,2015-05-21,2017-01-23,Permit Closed,47.64804333,-122.3566887
10484,6471574,MULTIFAMILY,5523407.0,2016-05-09,2017-10-02,Permit Closed,47.60567954,-122.3273468
