,build_id,build_lat,build_long,build_start_dt,build_end_dt,num_collisions,norm_collisions
62,6406127,47.66462636,-122.3080649,2015-05-12,2016-11-09,12,0.06593406593406594
63,6406611,47.61184277,-122.3425428,2015-03-25,2017-08-21,81,0.44505494505494503
64,6407198,47.61269306,-122.3009915,2015-03-02,2016-05-27,15,0.08241758241758242
65,6407657,47.5540511,-122.3210202,2015-05-13,2017-07-31,5,0.027472527472527472
66,6410710,47.67985766,-122.3233612,2015-12-11,2017-08-31,8,0.04395604395604396
67,6410711,47.65162035,-122.3129426,2015-03-26,2017-05-15,3,0.016483516483516484
68,6411450,47.6692679,-122.3780555,2015-06-16,2017-05-22,15,0.08241758241758242
69,6411858,47.61820544,-122.3270673,2015-04-02,2016-09-14,56,0.3076923076923077
70,6412408,47.63849474,-122.3769606,2015-10-14,2016-10-10,4,0.02197802197802198
71,6412958,47.66222901,-122.3061952,2015-02-09,2016-11-14,14,0.07692307692307693
72,6414126,47.72369199,-122.3067701,2015-10-07,2017-07-11,4,0.02197802197802198
73,6414719,47.62267378,-122.36041670000002,2015-08-28,2017-01-19,35,0.19230769230769232
74,6415654,47.63596506,-122.3262126,2015-04-17,2017-03-31,7,0.038461538461538464
75,6417082,47.6429976,-122.320869,2015-12-23,2017-10-16,5,0.027472527472527472
76,6418661,47.5735097,-122.3224022,2015-01-13,2016-07-14,10,0.054945054945054944
77,6419979,47.66113035,-122.3459842,2015-02-28,2016-02-09,24,0.13186813186813187
78,6420528,47.66998377,-122.3825021,2015-09-23,2017-07-18,18,0.0989010989010989
79,6421330,47.66673716,-122.3831091,2015-06-17,2016-11-18,10,0.054945054945054944
80,6422105,47.66168854,-122.343299,2015-11-25,2017-01-20,18,0.0989010989010989
81,6423126,47.62037689,-122.323355,2015-10-08,2017-05-03,24,0.13186813186813187
82,6423757,47.60053038,-122.3196145,2015-12-04,2017-08-15,25,0.13736263736263737
83,6424483,47.60039583,-122.3324886,2015-03-09,2016-11-03,45,0.24725274725274726
84,6424553,47.61709778,-122.3375332,2015-05-22,2017-12-07,22,0.12087912087912088
85,6424610,47.65162035,-122.3129426,2015-03-26,2017-01-31,6,0.03296703296703297
86,6425246,47.60420403,-122.3183261,2015-06-15,2017-02-28,34,0.18681318681318682
87,6426613,47.61698493,-122.3319657,2015-05-08,2017-10-18,40,0.21978021978021978
88,6426745,47.61779708,-122.30527759999998,2015-07-30,2017-10-24,19,0.1043956043956044
89,6426748,47.64144415,-122.3249605,2015-03-10,2017-08-17,12,0.06593406593406594
90,6428629,47.65026619,-122.321914,2015-06-08,2017-03-29,2,0.01098901098901099
91,6428901,47.56974742,-122.3862476,2015-05-28,2017-10-03,2,0.01098901098901099
92,6428981,47.56382104,-122.3138774,2015-05-23,2017-10-31,2,0.01098901098901099
93,6429047,47.71343606,-122.314673,2015-03-30,2016-10-12,2,0.01098901098901099
94,6429608,47.6356913,-122.3259269,2015-09-15,2017-03-31,5,0.027472527472527472
95,6430039,47.69074327,-122.3743557,2015-05-28,2016-12-28,4,0.02197802197802198
96,6430723,47.66697624,-122.3139188,2015-08-19,2017-05-12,16,0.08791208791208792
97,6432244,47.57973893,-122.31172,2015-03-18,2016-08-09,9,0.04945054945054945
98,6432554,47.65218971,-122.3488791,2015-07-07,2016-12-12,20,0.10989010989010989
99,6434860,47.61457019,-122.3340078,2015-08-25,2017-05-09,91,0.5
100,6435512,47.59944557,-122.3049645,2015-08-12,2016-09-30,14,0.07692307692307693
101,6436863,47.55728664,-122.3818713,2015-04-23,2016-12-14,21,0.11538461538461539
102,6437982,47.63002641,-122.3414234,2015-07-20,2017-06-30,16,0.08791208791208792
103,6439675,47.6223157,-122.3419568,2015-06-30,2017-05-04,54,0.2967032967032967
104,6439861,47.65375456,-122.3129066,2015-11-16,2017-01-06,8,0.04395604395604396
105,6440054,47.69077477,-122.3973139,2015-07-18,2016-09-12,4,0.02197802197802198
106,6440370,47.6642102,-122.3177761,2015-07-31,2016-09-28,42,0.23076923076923078
107,6442754,47.58195201,-122.357711,2015-02-28,2016-01-26,2,0.01098901098901099
108,6443916,47.62267378,-122.36041670000002,2015-07-01,2016-08-30,27,0.14835164835164835
109,6445064,47.58864636,-122.3113702,2015-11-30,2017-07-03,16,0.08791208791208792
110,6446552,47.66974927,-122.385144,2015-03-18,2016-10-14,9,0.04945054945054945
111,6448374,47.66389117,-122.3038142,2015-08-17,2017-06-07,19,0.1043956043956044
112,6451574,47.66196595,-122.3041538,2015-07-25,2016-09-19,18,0.0989010989010989
113,6453012,47.66306259,-122.3002169,2015-06-19,2016-11-21,10,0.054945054945054944
114,6453677,47.69572937,-122.3733593,2015-11-04,2017-07-10,3,0.016483516483516484
115,6453820,47.60413073,-122.304823,2015-10-22,2016-09-30,17,0.09340659340659341
116,6454720,47.65141461,-122.3431969,2015-07-16,2017-03-22,15,0.08241758241758242
117,6455927,47.66818029,-122.312793,2015-12-16,2017-10-26,20,0.10989010989010989
118,6456371,47.65141461,-122.3431969,2015-10-14,2017-04-24,15,0.08241758241758242
119,6456440,47.71787303,-122.29447659999998,2015-08-12,2017-08-18,14,0.07692307692307693
120,6457861,47.61777564,-122.3132728,2015-11-14,2018-02-26,2,0.01098901098901099
121,6458649,47.63115019,-122.3427607,2015-08-27,2017-11-02,11,0.06043956043956044
122,6458687,47.61894243,-122.3544838,2015-12-02,2017-03-08,26,0.14285714285714285
123,6461431,47.5396309,-122.2819217,2015-12-07,2017-04-18,22,0.12087912087912088
124,6461699,47.59600159,-122.3162261,2015-08-24,2016-12-16,37,0.2032967032967033
125,6461700,47.59600159,-122.3162261,2015-12-02,2017-01-19,33,0.1813186813186813
126,6467329,47.72369199,-122.3067701,2015-07-25,2017-07-11,4,0.02197802197802198
127,6471782,47.55189388,-122.3819111,2015-12-16,2016-10-14,11,0.06043956043956044
