,build_id,build_lat,build_long,build_start_dt,build_end_dt,num_collisions,norm_collisions
62,6405410,47.66601132,-122.3772692,2015-03-26,2016-07-26,76,0.1557377049180328
63,6405422,47.65236628,-122.3488764,2015-05-22,2016-11-14,53,0.09778597785977859
64,6405584,47.67825665,-122.31690079999998,2015-11-16,2017-06-07,68,0.1195079086115993
65,6406127,47.66462636,-122.3080649,2015-05-12,2016-11-09,81,0.1480804387568556
66,6406611,47.61184277,-122.3425428,2015-03-25,2017-08-21,406,0.46136363636363636
67,6406689,47.59298589,-122.3834815,2015-05-23,2016-11-22,6,0.01092896174863388
68,6407198,47.61269306,-122.3009915,2015-03-02,2016-05-27,42,0.09292035398230089
69,6407657,47.5540511,-122.3210202,2015-05-13,2017-07-31,33,0.040740740740740744
70,6410710,47.67985766,-122.3233612,2015-12-11,2017-08-31,36,0.057233704292527825
71,6410711,47.65162035,-122.3129426,2015-03-26,2017-05-15,20,0.02560819462227913
72,6411450,47.6692679,-122.3780555,2015-06-16,2017-05-22,99,0.14022662889518414
73,6411858,47.61820544,-122.3270673,2015-04-02,2016-09-14,162,0.3050847457627119
74,6412408,47.63849474,-122.3769606,2015-10-14,2016-10-10,11,0.03038674033149171
75,6412958,47.66222901,-122.3061952,2015-02-09,2016-11-14,68,0.10559006211180125
76,6414126,47.72369199,-122.3067701,2015-10-07,2017-07-11,5,0.007776049766718507
77,6414719,47.62267378,-122.36041670000002,2015-08-28,2017-01-19,81,0.1588235294117647
78,6415654,47.63596506,-122.3262126,2015-04-17,2017-03-31,34,0.047619047619047616
79,6417082,47.6429976,-122.320869,2015-12-23,2017-10-16,38,0.05731523378582202
80,6418661,47.5735097,-122.3224022,2015-01-13,2016-07-14,24,0.043795620437956206
81,6419979,47.66113035,-122.3459842,2015-02-28,2016-02-09,39,0.11271676300578035
82,6420528,47.66998377,-122.3825021,2015-09-23,2017-07-18,69,0.10391566265060241
83,6421330,47.66673716,-122.3831091,2015-06-17,2016-11-18,45,0.08653846153846154
84,6422105,47.66168854,-122.343299,2015-11-25,2017-01-20,46,0.10900473933649289
85,6423126,47.62037689,-122.323355,2015-10-08,2017-05-03,107,0.18673647469458987
86,6423757,47.60053038,-122.3196145,2015-12-04,2017-08-15,131,0.21129032258064517
87,6424483,47.60039583,-122.3324886,2015-03-09,2016-11-03,214,0.3537190082644628
88,6424553,47.61709778,-122.3375332,2015-05-22,2017-12-07,309,0.33225806451612905
89,6424610,47.65162035,-122.3129426,2015-03-26,2017-01-31,15,0.022156573116691284
90,6424994,47.6740228,-122.3753048,2015-06-19,2018-03-13,59,0.05911823647294589
91,6425246,47.60420403,-122.3183261,2015-06-15,2017-02-28,149,0.2387820512820513
92,6426613,47.61698493,-122.3319657,2015-05-08,2017-10-18,308,0.34451901565995524
93,6426745,47.61779708,-122.30527759999998,2015-07-30,2017-10-24,78,0.09547123623011015
94,6426748,47.64144415,-122.3249605,2015-03-10,2017-08-17,62,0.06958473625140292
95,6428629,47.65026619,-122.321914,2015-06-08,2017-03-29,12,0.01818181818181818
96,6428901,47.56974742,-122.3862476,2015-05-28,2017-10-03,21,0.024447031431897557
97,6428981,47.56382104,-122.3138774,2015-05-23,2017-10-31,25,0.028026905829596414
98,6429047,47.71343606,-122.314673,2015-03-30,2016-10-12,10,0.017793594306049824
99,6429608,47.6356913,-122.3259269,2015-09-15,2017-03-31,27,0.047957371225577264
100,6430039,47.69074327,-122.3743557,2015-05-28,2016-12-28,25,0.04310344827586207
101,6430723,47.66697624,-122.3139188,2015-08-19,2017-05-12,89,0.14082278481012658
102,6432244,47.57973893,-122.31172,2015-03-18,2016-08-09,30,0.058823529411764705
103,6432554,47.65218971,-122.3488791,2015-07-07,2016-12-12,49,0.09351145038167939
104,6434860,47.61457019,-122.3340078,2015-08-25,2017-05-09,258,0.41412520064205455
105,6435512,47.59944557,-122.3049645,2015-08-12,2016-09-30,48,0.11566265060240964
106,6436863,47.55728664,-122.3818713,2015-04-23,2016-12-14,55,0.09151414309484193
107,6437982,47.63002641,-122.3414234,2015-07-20,2017-06-30,64,0.090014064697609
108,6439675,47.6223157,-122.3419568,2015-06-30,2017-05-04,159,0.23590504451038577
109,6439861,47.65375456,-122.3129066,2015-11-16,2017-01-06,14,0.03357314148681055
110,6440054,47.69077477,-122.3973139,2015-07-18,2016-09-12,14,0.03317535545023697
111,6440370,47.6642102,-122.3177761,2015-07-31,2016-09-28,115,0.27058823529411763
112,6443916,47.62267378,-122.36041670000002,2015-07-01,2016-08-30,70,0.1643192488262911
113,6445064,47.58864636,-122.3113702,2015-11-30,2017-07-03,57,0.0981067125645439
114,6446552,47.66974927,-122.385144,2015-03-18,2016-10-14,33,0.057291666666666664
115,6448374,47.66389117,-122.3038142,2015-08-17,2017-06-07,59,0.0893939393939394
116,6451574,47.66196595,-122.3041538,2015-07-25,2016-09-19,49,0.11611374407582939
117,6453012,47.66306259,-122.3002169,2015-06-19,2016-11-21,35,0.0671785028790787
118,6453677,47.69572937,-122.3733593,2015-11-04,2017-07-10,18,0.029315960912052116
119,6453820,47.60413073,-122.304823,2015-10-22,2016-09-30,46,0.13372093023255813
120,6454720,47.65141461,-122.3431969,2015-07-16,2017-03-22,57,0.09268292682926829
121,6455927,47.66818029,-122.312793,2015-12-16,2017-10-26,75,0.11029411764705882
122,6456371,47.65141461,-122.3431969,2015-10-14,2017-04-24,48,0.08602150537634409
123,6456440,47.71787303,-122.29447659999998,2015-08-12,2017-08-18,66,0.08955223880597014
124,6457861,47.61777564,-122.3132728,2015-11-14,2018-02-26,181,0.21676646706586827
125,6458649,47.63115019,-122.3427607,2015-08-27,2017-11-02,49,0.06140350877192982
126,6458687,47.61894243,-122.3544838,2015-12-02,2017-03-08,54,0.11688311688311688
127,6461431,47.5396309,-122.2819217,2015-12-07,2017-04-18,64,0.1285140562248996
128,6461699,47.59600159,-122.3162261,2015-08-24,2016-12-16,132,0.275
129,6461700,47.59600159,-122.3162261,2015-12-02,2017-01-19,113,0.27294685990338163
130,6467329,47.72369199,-122.3067701,2015-07-25,2017-07-11,5,0.00697350069735007
131,6471782,47.55189388,-122.3819111,2015-12-16,2016-10-14,13,0.0429042904290429
