GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
1400000US53033031904,53033031904,"Census Tract 319.04, King County, Washington",1319,41,103794,11194,87.6,3.4,96639,12445,39.0,8.3,12355,7197,25.5,4.6,21221,3024,4.3,3.6,9170,5117,2.6,2.7,5206,2072,21.5,5.1,24968,5720,1017,99,108769,12133,11.3,4.5,N,N,26.4,8.2,N,N,37.9,7.6,N,N,11.5,6.8,N,N,12.0,5.8,N,N,1.0,1.6,N,N,3525,283,39224,3874,86.6,7.0,42259,4269,0.9,1.3,-,**,0.4,0.6,N,N,3.2,1.8,38496,16241,0.0,0.9,-,**,3.6,4.7,6871,2578,5.4,3.6,20982,20434,7.9,5.1,7577,4923,82.7,6.9,44014,4829,22.2,(X),(X),(X),26.1,(X),(X),(X),18.3,(X),(X),(X)
1400000US53033031906,53033031906,"Census Tract 319.06, King County, Washington",1392,50,124970,11450,81.2,5.6,132514,14371,40.4,7.8,9252,4796,27.9,5.1,22386,3753,1.2,1.3,N,N,0.0,2.3,-,**,25.6,5.1,18953,4601,1151,76,134497,11788,15.8,4.3,N,N,28.7,7.6,N,N,39.1,7.4,N,N,1.7,2.1,N,N,11.9,4.9,N,N,2.8,2.5,N,N,3899,271,45521,4639,73.2,4.3,50053,6066,2.3,2.2,31528,20607,0.0,0.8,-,**,16.0,2.4,37796,9763,0.0,0.8,-,**,3.6,3.6,39879,4226,4.9,3.0,13632,11704,3.6,3.6,39879,4226,73.2,4.3,50053,6066,24.0,(X),(X),(X),23.7,(X),(X),(X),20.6,(X),(X),(X)
1400000US53033031907,53033031907,"Census Tract 319.07, King County, Washington",2775,145,100956,8451,89.3,3.2,99156,8711,39.0,7.3,8575,3885,24.0,3.3,19779,3020,3.5,2.4,7812,681,3.5,2.2,3122,1898,13.5,3.8,23883,5933,1973,211,112915,10232,8.7,3.8,59415,25763,27.9,6.5,83061,14519,48.5,7.2,131260,11843,8.4,5.2,97414,36519,6.6,3.5,194595,25521,0.0,1.6,-,**,7670,477,37072,3224,57.4,5.2,42304,4285,4.7,1.7,35568,22900,0.5,0.8,N,N,21.4,4.9,39453,10514,0.5,0.6,N,N,3.1,3.1,32143,30064,12.3,5.0,12168,8543,8.6,3.4,27360,11629,54.2,4.9,42499,4403,20.9,(X),(X),(X),16.7,(X),(X),(X),14.9,(X),(X),(X)
1400000US53033031908,53033031908,"Census Tract 319.08, King County, Washington",1888,102,81911,8830,86.0,4.5,82951,9512,26.2,6.3,8899,6026,21.9,4.7,18042,3005,2.9,2.2,10722,4356,5.8,3.6,1731,749,13.3,4.5,24292,6529,1086,144,93963,12179,4.9,2.4,91440,29924,39.7,9.1,62077,11841,39.2,9.4,121718,22164,7.9,4.9,61751,30351,5.5,3.9,167725,34860,2.8,2.6,107217,66355,4640,500,33922,4710,60.6,7.6,39106,4786,13.8,5.9,20894,7587,0.0,0.7,-,**,11.3,5.8,25512,10225,0.8,1.1,N,N,6.6,6.5,13390,3003,7.0,2.6,46943,31862,13.1,7.1,29943,23700,56.3,7.5,41008,4710,22.6,(X),(X),(X),28.5,(X),(X),(X),22.4,(X),(X),(X)
1400000US53033031909,53033031909,"Census Tract 319.09, King County, Washington",1161,50,110358,9342,81.5,4.8,116219,10964,31.5,6.7,7419,3949,23.6,3.9,22463,3408,1.3,1.6,N,N,1.1,1.2,N,N,22.3,5.4,24312,6241,877,69,123257,11200,12.9,5.6,45144,15058,23.8,8.1,99007,17711,37.2,8.6,153668,19900,11.9,6.1,110711,49570,14.3,6.6,165540,19645,0.0,3.6,-,**,3030,228,43030,4446,73.3,6.1,45444,5681,9.6,5.0,32877,14941,0.0,1.1,-,**,10.9,4.7,42005,11330,0.0,1.1,-,**,0.0,0.1,N,N,6.2,3.4,32053,13312,3.4,2.9,43053,18918,71.8,6.0,45646,5778,22.0,(X),(X),(X),24.9,(X),(X),(X),16.3,(X),(X),(X)
1400000US53033032002,53033032002,"Census Tract 320.02, King County, Washington",1236,36,98301,9831,81.1,6.0,101444,12293,30.3,7.1,10048,5525,27.0,6.7,20087,5039,6.2,5.4,7999,2425,1.7,1.7,676,157,22.0,7.3,27598,7954,923,86,112150,11580,15.2,6.2,N,N,38.1,10.1,N,N,27.6,8.9,N,N,13.3,5.5,N,N,4.8,3.7,N,N,1.0,1.5,N,N,3526,271,35299,3868,91.5,5.9,36023,4134,0.7,0.7,N,N,0.0,0.9,-,**,4.2,4.8,29567,12797,0.0,0.9,-,**,0.8,0.8,N,N,2.9,2.2,N,N,3.1,2.4,30205,21722,90.1,5.7,35986,4087,19.1,(X),(X),(X),21.1,(X),(X),(X),13.6,(X),(X),(X)
1400000US53033032003,53033032003,"Census Tract 320.03, King County, Washington",1925,96,113146,10374,81.0,4.5,113326,11677,35.5,6.8,19061,14314,25.5,4.2,23181,2771,5.7,3.6,13965,5672,2.3,1.4,2247,1357,24.3,5.0,29245,7006,1380,116,128067,13766,17.8,5.0,N,N,24.6,7.1,N,N,38.8,7.5,N,N,6.0,4.0,N,N,11.4,3.9,N,N,1.4,1.9,N,N,5030,314,43917,4807,94.4,2.2,43541,4623,0.7,0.6,11930,6607,0.0,0.6,-,**,1.1,0.9,156465,153832,0.0,0.6,-,**,0.3,0.4,-,**,3.5,1.6,29114,14602,3.1,2.4,26694,13207,91.7,3.1,43972,4681,30.4,(X),(X),(X),23.3,(X),(X),(X),21.6,(X),(X),(X)
1400000US53033032005,53033032005,"Census Tract 320.05, King County, Washington",2405,162,92241,6517,95.9,2.8,89195,6238,26.4,6.2,5661,3705,15.0,4.4,14763,3903,2.3,2.5,6176,3088,3.3,2.8,3070,2013,9.5,3.6,18721,8854,1807,204,96688,8202,2.9,2.8,34017,19044,37.2,9.2,74454,12918,32.9,7.8,104387,9028,11.1,6.8,131313,26644,12.1,6.3,125974,25355,3.8,3.2,102096,18360,6960,476,32675,3472,84.9,4.1,34488,3859,3.2,2.5,16764,10829,0.0,0.5,-,**,5.7,2.2,22339,6207,0.3,0.4,N,N,1.1,1.3,N,N,4.9,2.4,27805,13422,8.4,4.3,14673,5198,78.3,5.9,36165,3790,30.2,(X),(X),(X),24.6,(X),(X),(X),19.8,(X),(X),(X)
1400000US53033032006,53033032006,"Census Tract 320.06, King County, Washington",1894,65,103880,10272,78.7,5.3,104773,10928,30.9,5.6,16066,9595,30.4,4.1,22086,2147,2.7,1.6,9969,3310,2.4,1.9,1396,467,30.5,4.0,26296,4278,1422,127,115596,12453,14.1,5.8,62192,35732,33.4,7.4,89790,11843,34.4,6.6,149488,25551,10.7,4.8,110803,24181,7.4,3.2,183663,52631,0.0,2.3,-,**,4811,350,41297,4780,87.6,4.1,43220,5542,0.6,0.6,40238,21039,0.5,0.9,N,N,4.3,2.1,29629,8425,0.0,0.7,-,**,0.7,1.2,N,N,6.2,3.2,21952,11395,3.6,2.0,32178,13981,85.3,4.2,43574,5730,30.1,(X),(X),(X),28.8,(X),(X),(X),21.6,(X),(X),(X)
1400000US53033032007,53033032007,"Census Tract 320.07, King County, Washington",1333,83,121624,13150,90.9,3.7,114506,12251,32.9,8.1,8826,3775,23.0,4.5,25684,3660,0.8,1.4,N,N,1.1,1.6,N,N,17.1,4.9,35470,28418,1027,102,129731,15153,8.9,3.9,97973,67996,31.4,8.2,95765,28856,40.0,9.9,151150,25260,3.4,3.1,111160,17479,12.9,7.9,183661,26369,3.5,2.9,89592,28374,3861,335,42769,4380,89.1,5.5,44519,4856,3.8,5.2,32801,13025,0.4,0.5,N,N,1.1,1.2,N,N,0.6,0.8,N,N,1.1,1.1,N,N,3.9,2.1,19031,10722,6.2,3.7,29802,11399,85.1,5.9,45384,5055,29.0,(X),(X),(X),25.4,(X),(X),(X),22.4,(X),(X),(X)
